article_name,date_article_creation
Samuel S. Wagstaff Jr.,"22:18, 23 October 2008"
Thomas Rogne,"14:51, 26 August 2017"
Hitchcock Blonde,"02:17, 12 October 2018"
2008 Women's Junior World Handball Championship,"15:28, 19 April 2007"
Helmut Roloff,"06:47, 19 March 2017"
Emticicia sediminis,"11:17, 8 February 2007"
Bernard Matthews,"02:28, 4 March 2011"
Knights of the Clock,"13:24, 7 March 2014"
Illuminate (Joe Morris and Rob Brown album),"18:33, 5 October 2016"
1994 Kent State Golden Flashes football team,"09:06, 9 May 2009"
Elena Karpova,"15:36, 8 November 2014"
1953 Yugoslav First Basketball League,"22:22, 24 February 2006"
MechAssault 2: Lone Wolf,"20:43, 25 February 2015"
Lea Carpenter,"17:48, 31 August 2006"
Orthopaedic nursing,"11:41, 5 April 2018"
NS Daures,"14:38, 26 May 2016"
State Service for Medications and Drugs Control,"13:49, 25 November 2012"
Guere Guerê,"12:11, 29 August 2014"
Isotenes tetrops,"11:05, 22 April 2004"
"Collingwood, Victoria","23:51, 20 August 2007"
Bolivian Americans,"18:10, 24 July 2011"
Hanna Prusakowska,"20:20, 25 June 2007"
Beyazıt Öztürk,"02:18, 15 March 2007"
Batak massacre,"09:24, 25 October 2009"
Alexis Spectral Data,"23:00, 3 July 2015"
Hull Pirates,"17:46, 6 June 2016"
Starry Messenger (picture book),"21:33, 20 May 2008"
Otto Newman,"11:43, 26 February 2008"
Aśuddhatā,"01:17, 4 May 2008"
Manada Creek,"19:30, 31 July 2020"
Amir Baitukanov,"18:35, 1 October 2012"
Dasmurt,"14:38, 12 October 2017"
Columbia Center for Theatrical Arts,"17:26, 27 June 2003"
Sap (EP),"12:28, 7 September 2006"
2005 in South African sport,"18:55, 1 January 2014"
London Boys (T. Rex song),"04:16, 6 March 2019"
"Baisha, Xiaochang County","12:58, 18 May 2013"
Novi Sanzhary Raion,"22:12, 20 October 2005"
Vainajala,"03:44, 26 July 2018"
SGO48,"19:45, 7 December 2012"
HNLMS Evertsen (1894),"17:11, 18 June 2004"
"Bingham, Nottinghamshire","16:40, 10 February 2017"
Azara railway station,"20:53, 10 July 2002"
List of counties of Prince Edward Island,"09:44, 5 August 2019"
Iris Kells,"01:21, 17 December 2009"
Live (Cassandra Wilson album),"19:03, 13 June 2017"
Roba Negousse,"19:49, 16 June 2019"
Vorona Monastery,"18:40, 11 November 2013"
"Bernat, Iran","17:09, 11 June 2006"
"George Egerton, 2nd Earl of Ellesmere","18:15, 2 July 2020"
Figure skating at the 1948 Winter Olympics – Pairs,"00:48, 2 June 2017"
DGM Racing,"01:33, 27 August 2017"
LTV Ethiopia,"15:23, 28 April 2011"
Towards Tomorrow's Journey,"15:49, 3 January 2009"
NS2 (HCV),"16:49, 23 April 2001"
Royal Brunei Armed Forces,"20:08, 27 September 2016"
Thomas Aldersey,"23:35, 21 August 2014"
Crambus sparselloides,"05:05, 8 February 2010"
Echigo-Tanaka Station,"10:03, 4 August 2018"
Secret Combination (Randy Crawford album),"12:16, 14 February 2008"
Namibia at the 2008 Summer Olympics,"21:56, 24 January 2019"
1948 Denver Pioneers football team,"07:06, 22 November 2018"
Dendrobium schneiderae,"21:50, 3 November 2006"
Olena Antonova,"14:50, 6 October 2008"
American Center in Moscow,"15:45, 8 September 2014"
Iliess Macani,"19:04, 9 April 2004"
Audi RSQ,"04:45, 11 February 2016"
Bulolo Valley,"13:27, 27 June 2007"
Hernán Toro,"15:52, 29 November 2004"
Perimysium,"23:18, 17 January 2009"
Rivarossi,"05:40, 4 March 2007"
Avil,"19:13, 18 July 2020"
Dalipadu,"12:37, 8 January 2010"
Naya Rivera,"19:39, 29 July 2005"
Scotty Bloch,"13:01, 23 July 2004"
The Strand Magazine,"23:29, 11 February 2019"
1980–81 Kansas Jayhawks men's basketball team,"22:30, 13 January 2014"
Gibbs Smith,"07:05, 15 April 2007"
Copyright law of Azerbaijan,"00:12, 25 February 2007"
Turok: Battle of the Bionosaurs,"03:25, 15 April 2007"
Battle of Araure,"05:20, 9 January 2015"
Diário Oficial da União,"07:47, 21 January 2006"
Melewar of Negeri Sembilan,"22:19, 3 September 2012"
List of tributes to Marvin Gaye,"07:57, 25 April 2018"
Khagraghat Road railway station,"04:45, 7 December 2016"
Louie Vega Starring...XXVIII,"04:51, 11 August 2016"
Ofelia Nieto,"14:34, 20 July 2013"
Majestatis,"10:49, 14 March 2020"
Silvano Meli,"21:04, 6 August 2005"
Banon cheese,"03:42, 23 July 2011"
2011–12 C.F. Pachuca season,"05:43, 23 June 2007"
The Ship That Died of Shame,"22:47, 26 September 2016"
Bibliography of Black theology,"05:08, 23 May 2020"
Shane McEntee (Gaelic footballer),"18:47, 25 June 2006"
Atarra,"18:14, 29 July 2004"
Marilyn Milian,"13:57, 28 January 2016"
Matilda Obaseki,"02:23, 14 March 2012"
Now You See It… (Now You Don't),"22:22, 18 May 2015"
Sherwyn Noble,"18:56, 13 December 2010"
Richard Weyland,"09:51, 16 November 2009"
Protector (2009 film),"08:40, 16 February 2014"
Aminobacter anthyllidis,"18:13, 23 May 2010"
Jasik (Pale),"18:22, 23 January 2015"
Žarko Marković (handballer),"15:27, 2 January 2010"
1950 in jazz,"12:56, 15 October 2008"
Mei (given name),"22:10, 13 May 2009"
Horham Hall,"20:40, 11 April 2009"
Hannes Jaenicke,"10:06, 4 August 2007"
Natalia Semenova,"09:18, 28 April 2018"
Euxoa cinnabarina,"19:02, 5 April 2015"
Day One Support for Young People Trailblazer,"09:19, 13 July 2012"
Axaxdərə,"20:13, 31 July 2009"
Old Town (Gdańsk),"02:32, 19 June 2010"
"Masonic Temple (Riverside, California)","09:54, 17 May 2008"
The Emperor of Absurdia,"12:32, 20 October 2006"
Shah Abdul Aziz,"08:15, 4 March 2007"
National Formosa University,"09:29, 28 July 2019"
Rhamphomyia magellensis,"19:04, 11 May 2017"
Brayan Palmezano,"14:32, 18 April 2003"
Flame,"18:32, 28 March 2008"
Radyo Natin Network,"11:10, 5 March 2009"
Wapnik,"00:41, 29 July 2008"
Ostryńskie,"03:34, 11 March 2010"
"JFK Medical Center (Edison, New Jersey)","17:24, 30 August 2014"
Tadhg Murphy (Tipperary hurler),"19:12, 27 July 2005"
Poor Folk,"23:53, 26 July 2009"
Dihydrothiophene,"23:32, 1 April 2005"
Franz Xaver Schwarz,"23:57, 21 August 2008"
"Taras, Łódź Voivodeship","20:51, 2 March 2015"
James H. Dieterich,"21:50, 3 January 2013"
Zanjiran,"17:18, 23 June 2014"
International Violin Competition of Indianapolis,"05:01, 14 April 2004"
"Shima District, Mie","02:52, 18 December 2012"
Sanya Phoenix Airport railway station,"13:02, 29 May 2014"
Strange Shadows in an Empty Room,"13:25, 3 February 2008"
Névache,"20:17, 13 March 2006"
1985 NCAA Division I Men's Basketball Tournament,"10:38, 13 August 2006"
List of diplomatic missions of Australia,"02:31, 8 February 2004"
"Yabakei, Ōita","17:19, 3 August 2015"
Miss Ko,"10:51, 29 July 2007"
Sissi – The Young Empress,"11:01, 29 July 2019"
"Admiralty Powers, &amp;c. Act 1865","03:37, 28 May 2018"
Santiago–Valparaíso railway line,"17:05, 2 February 2013"
Taiwan Halal Center,"15:15, 21 October 2009"
2013 Carolina RailHawks FC season,"18:47, 12 September 2011"
Pavel Holubář,"20:27, 12 September 2010"
Falkenseebach,"03:07, 22 October 2009"
"Violet Hill, Pennsylvania","17:33, 21 June 2007"
2000 United States Senate election in West Virginia,"20:52, 19 March 2007"
Kawasaki 454 LTD,"08:24, 5 September 2007"
Patriots Square Park,"18:08, 29 January 2007"
Ius,"15:07, 27 April 2009"
Spelungula,"10:18, 30 May 2019"
Elisabeth Helene von Vieregg,"16:09, 28 January 2012"
Acacia nematophylla,"21:50, 2 July 2009"
"Holy Trinity Church, Fresno","12:04, 14 April 2004"
Twelve Mile Road,"06:15, 16 July 2020"
Quadratic Gauss sum,"11:09, 30 September 2011"
Angel Pavement (1967 TV series),"07:46, 29 May 2019"
William Young (Tasmanian politician),"08:35, 4 February 2018"
Fielder Creek,"04:50, 15 April 2016"
Gabby Collingwood,"19:19, 20 July 2009"
German submarine U-3044,"14:27, 13 June 2020"
List of Bavarian People's Party politicians,"00:39, 19 February 2016"
Umm al-Surab,"07:06, 20 February 2007"
Nils Regnell,"13:09, 3 August 2012"
Electoral district of North Eastern Boroughs,"00:41, 26 December 2008"
Gonzen,"12:11, 23 February 2017"
Orbiliaceae,"03:13, 3 July 2009"
Marcelo Peterson,"22:46, 24 October 2013"
Flyers–Penguins rivalry,"06:11, 6 February 2011"
Qaemiyeh-ye Olya,"16:19, 25 September 2009"
Falling Leaf Lake,"21:30, 3 May 2018"
Alice Halstead,"19:59, 18 September 2017"
Xanthocaecilius sommermanae,"11:29, 16 August 2010"
Tom Tilley (television presenter),"02:42, 19 August 2009"
Rõuma,"20:06, 12 October 2012"
1912–13 Ottawa Senators season,"22:27, 21 April 2010"
Alpheus heterochaelis,"14:55, 5 June 2007"
2010 Jordan Brand Classic,"02:11, 23 April 2003"
Burguillos del Cerro,"18:41, 1 January 2006"
Local H,"18:42, 20 June 2009"
Poly drug use,"15:40, 17 April 2006"
Reynaudia,"11:28, 6 August 2015"
Stewart Imlach,"15:37, 15 October 2005"
"St Thomas, Brightside","18:18, 16 December 2017"
Robert Opel,"13:22, 24 August 2008"
Anthony Chong,"01:25, 3 November 2004"
Catherine Repond,"19:41, 23 January 2012"
The Great Escape II: The Untold Story,"22:32, 20 September 2012"
BYKdb,"17:05, 16 August 2020"
Ammodiscacea,"19:14, 13 August 2005"
Abraham &amp; Straus,"18:21, 17 July 2015"
Mongolia at the 2019 World Athletics Championships,"09:33, 16 May 2008"
Trieste – Friuli Venezia Giulia Airport,"03:27, 29 June 2009"
Genevieve Lyons,"03:39, 27 June 2014"
Walrus and Kritskoi Islands,"23:18, 10 December 2006"
Syria at the 1955 Mediterranean Games,"00:22, 31 January 2007"
Roco Kingdom 3,"00:28, 30 January 2013"
"Slab City, Wisconsin","02:33, 3 May 2017"
Canton of Marseille-Vauban,"13:46, 8 April 2008"
Peter Krikes,"15:34, 2 December 2009"
"Sundad, Arizona","14:35, 9 August 2018"
Mild and Hazy,"16:46, 1 March 2008"
Kassiaty Gildas Labi,"16:49, 23 March 2012"
Marie C. Malaro,"00:53, 26 October 2014"
"Lucy, Seine-Maritime","21:42, 27 December 2012"
Charles Spooner,"16:06, 4 July 2012"
University Hospitals Plymouth NHS Trust,"16:08, 8 August 2008"
Yukihiko Ikeda,"21:25, 28 December 2014"
Thomas Meehan School,"22:51, 25 May 2011"
Hopkinton Supply Co. Building,"23:03, 8 March 2006"
"Jericho, Cumberland County, New Jersey","13:43, 24 September 2006"
Suite from Henry V,"04:53, 7 July 2013"
Mara Provincial Park,"18:19, 5 March 2005"
Munna Bhai,"23:09, 4 September 2006"
"Indian Institute of Fire Engineering, Nagpur","09:15, 22 May 2017"
Ahlden,"13:08, 15 January 2011"
Friendship Port of Nouakchott,"18:56, 12 January 2011"
Caravan Bridge,"01:46, 30 May 2007"
Peter Thiede,"23:05, 1 January 2007"
The Practice of Love,"17:14, 2 October 2012"
Demolition (Dungeon album),"11:40, 5 February 2009"
2007 in aviation,"16:03, 6 May 2020"
U.S. Rail Corporation,"16:18, 28 April 2006"
Ogardzki Młyn,"23:19, 2 April 2005"
Macho River Forest Reserve,"17:48, 7 May 2013"
Red Room (White House),"16:06, 13 February 2008"
Priapatius,"12:34, 1 July 2007"
Jordan Devey,"18:55, 16 June 2020"
L'Isle-de-Noé,"15:55, 25 November 2018"
Shinjuku-gyoemmae Station,"08:19, 1 October 2013"
Epicoma,"22:46, 23 September 2005"
2009–10 Odense Boldklub season,"10:07, 20 October 2011"
Chiretolpis erubescens,"00:07, 26 October 2008"
Min Zhu (entrepreneur),"12:44, 26 January 2007"
John McGlynn (Gaelic footballer),"23:10, 15 October 2007"
Daniel Nicoletta,"04:00, 17 July 2009"
Generalized assignment problem,"10:03, 9 December 2018"
Lambda Lyrae,"15:55, 13 July 2005"
"Violin Sonatas, KV 6–9 (Mozart)","14:57, 18 September 2020"
Dan Stanca,"15:31, 4 January 2003"
Gangsa,"08:00, 8 January 2016"
Christmas Prayer,"15:59, 22 August 2003"
Giambattista Vico,"02:03, 27 July 2007"
Augustinus Kim Jong-soo,"13:27, 4 October 2013"
Hallucinations (David Usher album),"04:53, 27 January 2014"
Masked fruiteater,"12:18, 30 September 2008"
Rockbridge Alum Springs Historic District,"06:36, 6 March 2007"
Leucanopsis tanamo,"14:50, 13 October 2007"
"Church of Our Lady of Light, Chennai","01:18, 7 July 2007"
Rosa María Britton,"05:38, 21 March 2009"
Dannebrogordenens Hæderstegn,"16:16, 3 March 2010"
Sant'Andrea Island,"05:58, 6 August 2013"
Carobel,"08:43, 8 December 2019"
Anopinella rastafariana,"23:56, 22 August 2017"
Netherlands in the Eurovision Song Contest 2014,"18:07, 7 March 2004"
Florent Mols,"02:05, 11 February 2019"
Patient rights in New Zealand,"18:46, 18 May 2019"
Yolande Thibeault,"09:21, 19 February 2017"
Francisco Plancarte y Navarrete,"00:45, 1 October 2020"
"Glen (hamlet), New York","15:32, 25 September 2020"
The Hoax Is Over,"03:50, 5 July 2011"
DXCT (Tangub),"23:12, 14 April 2004"
2020–21 SHL season,"22:48, 5 April 2010"
Nabipeta,"04:51, 13 June 2020"
James Lee (Canadian politician),"15:56, 4 November 2006"
Eubela calyx,"05:04, 3 September 2006"
"Warrentinna, Tasmania","01:07, 30 March 2018"
Yair Kraidman,"08:36, 16 February 2011"
Northern Sierra Miwok,"19:38, 18 April 2006"
Mima Creek,"19:15, 27 August 2012"
Persipasi Bekasi,"13:44, 13 July 2014"
Half Dead and Dynamite,"02:03, 4 August 2013"
Alsancak Hocazade Mosque,"22:28, 10 July 2012"
Nedyu Rachev,"20:59, 21 June 2020"
List of Big South Conference football champions,"20:51, 7 January 2014"
Sophia Somajo,"14:04, 5 July 2011"
"Golisano Children's Hospital (Rochester, NY)","03:36, 4 April 2004"
"Duk, Isfahan","12:54, 27 January 2007"
Geoffrey Baron (rebel),"18:05, 28 September 2016"
Aboriginal and Torres Strait Islander Commission,"14:50, 26 January 2017"
Hi-Skool Trivia,"20:01, 26 November 2007"
Robyn Wong,"09:20, 23 May 2007"
John Reece,"14:35, 11 December 2008"
Mark Wallington (writer),"18:19, 12 March 2017"
Ülo Jõgi,"19:22, 4 October 2013"
"Subarnapur, Nepal","09:57, 25 November 2018"
"Albert Freeman (cricketer, born 1844)","01:47, 21 May 2007"
Lilibeth Chacón,"18:32, 21 August 2010"
"Taurida electoral district (Russian Constituent Assembly election, 1917)","14:15, 15 March 2008"
Sweet Merilee,"14:09, 22 December 2016"
Prapratno,"08:49, 11 October 2018"
Ana Kalandadze,"00:35, 13 October 2007"
Percival Arnott,"15:24, 22 June 2011"
Lawn bowls at the 2018 Asian Para Games,"08:21, 3 May 2018"
StarCom21,"10:14, 8 September 2018"
Wenzel Bürger,"16:54, 17 February 2010"
Haplusia,"16:39, 10 June 2011"
I Wayan Koster,"17:29, 24 October 2008"
William Murray (rugby union),"19:57, 11 January 2008"
List of Sri Lankan mobsters,"14:43, 6 September 2016"
Ed Townsend (swimmer),"12:23, 2 September 2007"
Sanford Clark,"19:56, 1 October 2013"
Cristian Novacek,"04:04, 12 April 2015"
Italian Owl pigeon,"19:50, 11 November 2003"
Adopting Act of 1729,"11:33, 27 August 2007"
Jean Jannon,"09:16, 20 July 2012"
Paolo Savi,"15:23, 2 July 2017"
Montaña Rusa (La Feria Chapultepec Mágico),"21:03, 11 October 2006"
Jordan Hitch,"20:50, 15 August 2014"
Saeid Ahmadi,"00:52, 29 May 2018"
Żychlin,"12:18, 13 November 2011"
Macy's Recordings,"21:50, 28 December 2018"
Dan Pirillo,"02:07, 16 January 2007"
2011 Slovak Open – Women's Singles,"04:36, 12 July 2008"
Romesh,"18:17, 10 March 2011"
BICSI,"16:44, 22 August 2007"
Kurt Marti,"20:06, 28 January 2009"
Lamp of Brotherhood,"20:37, 25 June 2006"
Valea Crișului (river),"05:03, 14 March 2017"
John Pritchard (rower),"12:15, 12 March 2010"
1934–35 in English football,"15:54, 26 September 2004"
Glenea pujoli,"16:21, 28 December 2006"
1972–73 Stoke City F.C. season,"21:05, 29 September 2008"
Partille,"15:50, 15 October 2002"
O Christmas Bush,"18:31, 24 March 2011"
Colchester New Church,"21:31, 19 February 2007"
"Atmautluak, Alaska","22:04, 7 October 2011"
Briarcliff Hotel,"21:08, 28 January 2010"
Thomas Madison (settler),"20:02, 1 June 2017"
"Orpheum Theatre (New Bedford, Massachusetts)","13:06, 12 June 2012"
Filipe Pastel,"07:14, 19 May 2004"
Morteza Moballegh,"15:20, 23 January 2005"
Minuscule 1073,"18:12, 3 September 2015"
